,time,open,high,low,close,volume,vc
165,2020-05-05T11:14:00.000Z,8871.6,8871.6,8866,8866.1,681,6.81
166,2020-05-05T11:13:00.000Z,8870,8871.4,8868.1,8871.4,488,4.88
167,2020-05-05T11:12:00.000Z,8872,8873.7,8870.4,8870.4,586,5.86
168,2020-05-05T11:11:00.000Z,8883.6,8884.2,8872.4,8872.4,717,7.17
169,2020-05-05T11:10:00.000Z,8878.6,8888.2,8878.6,8882.8,1610,16.1
170,2020-05-05T11:09:00.000Z,8874.6,8878,8874.6,8878,62,0.62
171,2020-05-05T11:08:00.000Z,8877.6,8877.7,8872.3,8872.9,511,5.11
172,2020-05-05T11:07:00.000Z,8870.8,8876.8,8870.3,8876.8,412,4.12
173,2020-05-05T11:06:00.000Z,8881.5,8881.7,8868.5,8869.4,658,6.58
174,2020-05-05T11:05:00.000Z,8873.8,8881.1,8872,8880.6,613,6.13
175,2020-05-05T11:04:00.000Z,8874,8878.2,8871.6,8873.7,755,7.55
176,2020-05-05T11:03:00.000Z,8856,8872,8856,8872,320,3.2
177,2020-05-05T11:02:00.000Z,8848.4,8854.5,8848.1,8854.5,366,3.66
178,2020-05-05T11:01:00.000Z,8838.9,8850.7,8837.5,8849.1,783,7.83
179,2020-05-05T11:00:00.000Z,8851.9,8851.9,8833,8837.7,1106,11.06
180,2020-05-05T10:59:00.000Z,8849.3,8857.8,8847.9,8851.2,1195,11.95
181,2020-05-05T10:58:00.000Z,8827,8850,8827,8849.2,1183,11.83
182,2020-05-05T10:57:00.000Z,8829.6,8829.7,8823.7,8829.4,645,6.45
183,2020-05-05T10:56:00.000Z,8831.6,8831.9,8829,8829.2,1001,10.01
184,2020-05-05T10:55:00.000Z,8826.8,8843.7,8826,8830.4,996,9.96
185,2020-05-05T10:54:00.000Z,8832.8,8837,8824.4,8828.2,3270,32.7
186,2020-05-05T10:53:00.000Z,8838,8838,8828,8832,1339,13.39
187,2020-05-05T10:52:00.000Z,8838,8844.9,8837.5,8839.2,265,2.65
188,2020-05-05T10:51:00.000Z,8845.5,8846.6,8835.4,8837.9,715,7.15
189,2020-05-05T10:50:00.000Z,8849.6,8850.1,8844.8,8846.2,289,2.89
190,2020-05-05T10:49:00.000Z,8842.3,8850.7,8839.2,8850.7,698,6.98
191,2020-05-05T10:48:00.000Z,8839.4,8846.4,8838,8842.5,1266,12.66
192,2020-05-05T10:47:00.000Z,8846.9,8848.5,8839.4,8839.7,552,5.52
193,2020-05-05T10:46:00.000Z,8852.3,8854.4,8845.7,8845.9,504,5.04
194,2020-05-05T10:45:00.000Z,8852.8,8855.4,8851.3,8854,1115,11.15
195,2020-05-05T10:44:00.000Z,8858,8858,8852,8853.4,653,6.53
196,2020-05-05T10:43:00.000Z,8853.3,8859,8848.9,8858.8,695,6.95
197,2020-05-05T10:42:00.000Z,8852.1,8855.8,8852.1,8854,403,4.03
198,2020-05-05T10:41:00.000Z,8856,8860,8852,8852.5,497,4.97
199,2020-05-05T10:40:00.000Z,8861.2,8861.2,8849.5,8855.4,1027,10.27
200,2020-05-05T10:39:00.000Z,8862.7,8862.7,8858.8,8860.1,1007,10.07
201,2020-05-05T10:38:00.000Z,8859.4,8867.1,8859.4,8863.9,793,7.93
202,2020-05-05T10:37:00.000Z,8857.5,8863.8,8857.5,8860,445,4.45
203,2020-05-05T10:36:00.000Z,8842.8,8857.1,8842.8,8857.1,235,2.35
204,2020-05-05T10:35:00.000Z,8852,8852,8842.4,8842.4,589,5.89
205,2020-05-05T10:34:00.000Z,8860.1,8860.1,8850.8,8852.2,1045,10.45
206,2020-05-05T10:33:00.000Z,8861.3,8861.3,8858.1,8859.6,1681,16.81
207,2020-05-05T10:32:00.000Z,8859.3,8861.6,8854,8859.9,1079,10.79
208,2020-05-05T10:31:00.000Z,8854,8858,8854,8858,426,4.26
209,2020-05-05T10:30:00.000Z,8842.4,8852.3,8833,8852.3,685,6.85
210,2020-05-05T10:29:00.000Z,8858.8,8858.8,8843.5,8843.5,1104,11.04
211,2020-05-05T10:28:00.000Z,8846,8861.6,8844.2,8859.4,554,5.54
212,2020-05-05T10:27:00.000Z,8849.5,8849.5,8841.7,8846,650,6.5
213,2020-05-05T10:26:00.000Z,8846.8,8851.1,8840.2,8849,728,7.28
214,2020-05-05T10:25:00.000Z,8856.4,8857.9,8846.2,8846.2,1310,13.1
215,2020-05-05T10:24:00.000Z,8851.3,8862.2,8848.7,8856.7,639,6.39
216,2020-05-05T10:23:00.000Z,8852.1,8855.4,8848.9,8851.2,1106,11.06
217,2020-05-05T10:22:00.000Z,8847.1,8856.8,8844.8,8850.9,1108,11.08
218,2020-05-05T10:21:00.000Z,8823.3,8846.5,8823.3,8846.5,1288,12.88
219,2020-05-05T10:20:00.000Z,8834.1,8834.1,8817.2,8821.4,1301,13.01
220,2020-05-05T10:19:00.000Z,8840.3,8845.3,8832,8835.5,1574,15.74
221,2020-05-05T10:18:00.000Z,8838,8850,8837.8,8840,1412,14.12
222,2020-05-05T10:17:00.000Z,8838,8852.5,8832,8836,1082,10.82
223,2020-05-05T10:16:00.000Z,8846,8848,8835,8835,1948,19.48
224,2020-05-05T10:15:00.000Z,8824,8847.3,8814,8846.4,2503,25.03
225,2020-05-05T10:14:00.000Z,8819.9,8834.6,8819.9,8825.4,3350,33.5
226,2020-05-05T10:13:00.000Z,8822.4,8826.8,8804.1,8818,8825,88.25
227,2020-05-05T10:12:00.000Z,8798,8824.8,8782,8822.3,5142,51.42
228,2020-05-05T10:11:00.000Z,8776,8822.3,8776,8798.6,3355,33.55
229,2020-05-05T10:10:00.000Z,8863.8,8863.8,8742,8767.3,8868,88.68
230,2020-05-05T10:09:00.000Z,8883.3,8885.5,8860.4,8861.6,3579,35.79
231,2020-05-05T10:08:00.000Z,8888.1,8897.4,8884,8886,1694,16.94
232,2020-05-05T10:07:00.000Z,8905.4,8905.4,8886.8,8888.8,1732,17.32
233,2020-05-05T10:06:00.000Z,8889.4,8907.9,8889.4,8906.7,1636,16.36
234,2020-05-05T10:05:00.000Z,8878,8891.5,8872.8,8891.5,2432,24.32
235,2020-05-05T10:04:00.000Z,8887.8,8897.9,8867.9,8879.3,5001,50.01
236,2020-05-05T10:03:00.000Z,8898,8912.1,8877.4,8886.9,11879,118.79
237,2020-05-05T10:02:00.000Z,8852.2,8901.7,8852.2,8897.6,3672,36.72
238,2020-05-05T10:01:00.000Z,8950.1,8950.1,8821.1,8858.1,5981,59.81
239,2020-05-05T10:00:00.000Z,9006.5,9007.5,8923.1,8950,9154,91.54
240,2020-05-05T09:59:00.000Z,9005,9013.4,8997.8,9007.8,2212,22.12
241,2020-05-05T09:58:00.000Z,9019.2,9020,9003.7,9005.3,2368,23.68
242,2020-05-05T09:57:00.000Z,9040.5,9040.5,9019.6,9019.6,152,1.52
243,2020-05-05T09:56:00.000Z,9035.2,9041.3,9035.2,9040.2,305,3.05
244,2020-05-05T09:55:00.000Z,9031,9038.9,9030.5,9035.6,409,4.09
245,2020-05-05T09:54:00.000Z,9036,9036,9028.4,9028.4,171,1.71
246,2020-05-05T09:53:00.000Z,9040,9040,9032.1,9036.8,99,0.99
247,2020-05-05T09:52:00.000Z,9047.9,9047.9,9040.5,9040.5,64,0.64
248,2020-05-05T09:51:00.000Z,9058.5,9058.5,9045.8,9046,208,2.08
249,2020-05-05T09:50:00.000Z,9059.5,9061.9,9058.8,9060.2,135,1.35
250,2020-05-05T09:49:00.000Z,9058.7,9065.7,9058.4,9059.1,586,5.86
251,2020-05-05T09:48:00.000Z,9060.6,9060.6,9056.3,9057.4,203,2.03
252,2020-05-05T09:47:00.000Z,9056.1,9061.5,9055.2,9060.8,868,8.68
253,2020-05-05T09:46:00.000Z,9065,9065,9056.3,9056.3,385,3.85
254,2020-05-05T09:45:00.000Z,9073.7,9073.8,9062.1,9064.4,442,4.42
255,2020-05-05T09:44:00.000Z,9078.3,9078.3,9068.9,9073.6,1443,14.43
256,2020-05-05T09:43:00.000Z,9061.6,9080,9060.9,9077.3,857,8.57
257,2020-05-05T09:42:00.000Z,9058.7,9061.3,9058.6,9060.5,256,2.56
258,2020-05-05T09:41:00.000Z,9062.2,9062.4,9058.6,9058.6,989,9.89
259,2020-05-05T09:40:00.000Z,9048.6,9062.2,9048.6,9061.9,824,8.24
